Localiza,CHEVROLET,CELTA,2014,48500,25970
Localiza,FIAT,UNO,2014,23370,29580
Localiza,FIAT,UNO,2015,51901,30440
Localiza,VOLKSWAGEN,GOL,2015,34991,30770
Localiza,VOLKSWAGEN,GOL,2015,32205,30860
Localiza,VOLKSWAGEN,GOL,2015,28912,30920
Localiza,VOLKSWAGEN,GOL,2015,27495,30950
Localiza,FIAT,UNO,2015,42584,31220
Localiza,VOLKSWAGEN,SAVEIRO,2015,35637,32050
Localiza,VOLKSWAGEN,GOL,2014,69683,32310
Localiza,VOLKSWAGEN,GOL,2014,50005,32320
Localiza,VOLKSWAGEN,GOL,2014,39869,32510
Localiza,VOLKSWAGEN,VOYAGE,2014,68692,32810
Localiza,VOLKSWAGEN,VOYAGE,2014,61874,33690
Localiza,NISSAN,MARCH,2016,55400,33740
Localiza,NISSAN,MARCH,2017,25821,33900
Localiza,NISSAN,MARCH,2017,42091,33900
Localiza,NISSAN,MARCH,2017,30849,33900
Localiza,NISSAN,MARCH,2017,28581,33900
Localiza,NISSAN,MARCH,2017,27893,33900
Localiza,NISSAN,MARCH,2017,30245,33900
Localiza,NISSAN,MARCH,2017,28109,33900
Localiza,NISSAN,MARCH,2017,33675,33900
Localiza,NISSAN,MARCH,2017,31856,33900
Localiza,NISSAN,MARCH,2017,27381,33900
Localiza,NISSAN,MARCH,2017,34257,33900
Localiza,NISSAN,MARCH,2017,27415,33900
Localiza,NISSAN,MARCH,2017,28777,33900
Localiza,NISSAN,MARCH,2017,26707,33900
Localiza,NISSAN,MARCH,2017,32725,33900
Localiza,NISSAN,MARCH,2017,32009,33900
Localiza,VOLKSWAGEN,VOYAGE,2014,57908,33930
Localiza,VOLKSWAGEN,VOYAGE,2015,59772,34030
Localiza,VOLKSWAGEN,VOYAGE,2014,52660,34030
Localiza,VOLKSWAGEN,VOYAGE,2014,50451,34070
Localiza,VOLKSWAGEN,VOYAGE,2014,51572,34070
Localiza,VOLKSWAGEN,VOYAGE,2014,50669,34070
Localiza,FIAT,STRADA,2015,51590,34070
Localiza,VOLKSWAGEN,VOYAGE,2014,48016,34100
Localiza,VOLKSWAGEN,VOYAGE,2014,49088,34100
Localiza,FIAT,STRADA,2015,48674,34100
Localiza,FIAT,STRADA,2015,48149,34100
Localiza,VOLKSWAGEN,VOYAGE,2014,59367,34160
Localiza,VOLKSWAGEN,VOYAGE,2014,46446,34170
Localiza,VOLKSWAGEN,VOYAGE,2014,42105,34240
Localiza,VOLKSWAGEN,VOYAGE,2014,41593,34270
Localiza,FIAT,STRADA,2015,41641,34270
Localiza,VOLKSWAGEN,VOYAGE,2014,41152,34270
Localiza,VOLKSWAGEN,VOYAGE,2014,53900,34360
Localiza,VOLKSWAGEN,VOYAGE,2015,46061,34370
Localiza,VOLKSWAGEN,VOYAGE,2014,51988,34400
Localiza,NISSAN,MARCH,2016,41254,34410
Localiza,NISSAN,MARCH,2017,47725,34490
Localiza,VOLKSWAGEN,VOYAGE,2014,45622,34540
Localiza,FORD,KA,2016,68932,34600
Localiza,VOLKSWAGEN,VOYAGE,2014,39007,34670
Localiza,FIAT,UNO,2016,42682,34790
Localiza,FIAT,UNO,2017,42255,34900
Localiza,FIAT,UNO,2017,40289,34900
Localiza,FIAT,UNO,2017,31282,34900
Localiza,FIAT,UNO,2017,26478,34900
Localiza,FIAT,UNO,2017,38967,34900
Localiza,FIAT,UNO,2017,26754,34900
Localiza,FIAT,UNO,2017,26820,34900
Localiza,FIAT,UNO,2017,35684,34900
Localiza,FIAT,UNO,2017,29694,34900
Localiza,FIAT,UNO,2017,27935,34900
Localiza,FIAT,UNO,2017,25733,34900
Localiza,FIAT,UNO,2017,39204,34900
Localiza,FIAT,UNO,2017,25229,34900
Localiza,FIAT,UNO,2017,36197,34900
Localiza,FIAT,UNO,2017,25078,34900
Localiza,FIAT,UNO,2017,30462,34900
Localiza,FIAT,UNO,2017,25615,34900
Localiza,FIAT,UNO,2017,40820,34900
Localiza,FIAT,UNO,2017,34603,34900
Localiza,FIAT,UNO,2017,26451,34900
Localiza,FIAT,UNO,2017,34165,34900
Localiza,FIAT,UNO,2017,26617,34900
Localiza,FIAT,UNO,2017,32013,34900
Localiza,FIAT,UNO,2017,27369,34900
Localiza,FIAT,UNO,2017,27253,34900
Localiza,FIAT,UNO,2017,32267,34900
Localiza,FIAT,UNO,2017,28807,34900
Localiza,FIAT,UNO,2017,28857,34900
Localiza,FIAT,UNO,2017,28624,34900
Localiza,FIAT,UNO,2017,40318,34900
Localiza,FIAT,UNO,2017,26140,34900
Localiza,FIAT,UNO,2017,26778,34900
Localiza,FIAT,UNO,2017,27333,34900
Localiza,FIAT,UNO,2017,25387,34900
Localiza,FIAT,UNO,2017,32078,34900
Localiza,FIAT,UNO,2017,38836,34900
Localiza,FIAT,UNO,2017,25823,34900
Localiza,FIAT,UNO,2017,25452,34900
Localiza,FIAT,UNO,2017,30706,34900
Localiza,FIAT,UNO,2017,25150,34900
Localiza,FIAT,UNO,2017,27424,34900
Localiza,FIAT,UNO,2017,30230,34900
Localiza,FIAT,UNO,2017,26182,34900
Localiza,FIAT,UNO,2017,28829,34900
Localiza,FIAT,UNO,2017,26166,34900
Localiza,FIAT,UNO,2017,29536,34900
Localiza,FIAT,UNO,2017,35263,34900
Localiza,FIAT,UNO,2017,37771,34900
Localiza,FIAT,UNO,2017,25800,34900
Localiza,FIAT,UNO,2017,27926,34900
Localiza,FIAT,UNO,2017,40842,34900
Localiza,FIAT,UNO,2017,25108,34900
Localiza,FIAT,UNO,2017,27938,34900
Localiza,FIAT,UNO,2017,34479,34900
Localiza,FIAT,UNO,2017,40100,34900
Localiza,FIAT,UNO,2017,29022,34900
Localiza,FIAT,UNO,2017,40415,34900
Localiza,FIAT,UNO,2017,28355,34900
Localiza,FIAT,UNO,2017,48977,34900
