Revendedora, Fabricante, Modelo, Ano, Kilometragem, Preco, Preço Fipe, %Desconto-Fipe, %Desconto/1000Kilometros
Movida,FIAT,UNO,2018,27807,36160,37328,3.1290184312044578%,0.11252223932697272
Movida,FIAT,UNO,2017,28120,33960,35303,3.8042092739993767%,0.1352800140108594
Movida,FIAT,UNO,2017,19320,34690,35303,1.7363963402543694%,0.089870935264964
Movida,FIAT,UNO,2017,30549,33960,35303,3.8042092739993767%,0.12452403515546241
Movida,FIAT,UNO,2017,29320,33960,35303,3.8042092739993767%,0.12974350376860874
Movida,FIAT,UNO,2017,34161,33960,35303,3.8042092739993767%,0.11135792032080606
Movida,FIAT,UNO,2018,26700,36160,37328,3.1290184312044578%,0.11718731250531657
Movida,FIAT,UNO,2017,28981,33960,35303,3.8042092739993767%,0.13126110254638662
Movida,FIAT,UNO,2018,23896,36760,37328,1.521645949421346%,0.06367518723778491
Movida,FIAT,UNO,2018,24727,36760,37328,1.521645949421346%,0.061535342503289625
Movida,FIAT,UNO,2017,29403,33960,35303,3.8042092739993767%,0.1293772709155005
Movida,FIAT,UNO,2017,32983,33960,35303,3.8042092739993767%,0.115334988903692
Movida,FIAT,UNO,2017,38136,32890,35303,6.835113163187264%,0.17922524485898902
Movida,FIAT,UNO,2017,38730,32890,35303,6.835113163187264%,0.17647654755072847
Movida,FIAT,UNO,2017,21959,34690,35303,1.7363963402543694%,0.07907087159628276
Movida,FIAT,UNO,2018,29876,36160,37328,3.1290184312044578%,0.10473000740383766
Movida,FIAT,UNO,2018,31940,36160,37328,3.1290184312044578%,0.09796244423169148
Movida,FIAT,UNO,2018,33015,36160,37328,3.1290184312044578%,0.09477278989594311
Movida,FIAT,UNO,2018,35981,34730,37328,6.959922846120874%,0.19342790412208533
Movida,FIAT,UNO,2018,32147,36160,37328,3.1290184312044578%,0.09733166701519402
Movida,FIAT,UNO,2018,21286,36760,37328,1.521645949421346%,0.07148240472689181
Movida,FIAT,UNO,2017,34776,33960,35303,3.8042092739993767%,0.10938865554818923
Movida,FIAT,UNO,2017,31150,33960,35303,3.8042092739993767%,0.12212157792685233
Movida,FIAT,UNO,2018,25231,36160,37328,3.1290184312044578%,0.12400992514285263
Movida,FIAT,UNO,2017,29351,33960,35303,3.8042092739993767%,0.1296064756745495
Movida,FIAT,UNO,2018,22504,36760,37328,1.521645949421346%,0.06761368360014867
Movida,FIAT,UNO,2017,28610,33960,35303,3.8042092739993767%,0.132963170598699
Movida,FIAT,UNO,2017,25688,33960,35303,3.8042092739993767%,0.14808709073920265
Movida,FIAT,UNO,2018,23991,36760,37328,1.521645949421346%,0.06342305557774866
Movida,FIAT,UNO,2017,26182,33960,35303,3.8042092739993767%,0.14529310140164903
Movida,FIAT,UNO,2017,29518,33960,35303,3.8042092739993767%,0.12887324347028614
Movida,FIAT,UNO,2017,32116,33960,35303,3.8042092739993767%,0.11844846262102242
